from\to,CDG,FCO,ZRH,LHR,VIE,BER,AMS,BRU,CPH,WAW,BCN,LIS,ZAG,BUD,PRG
CDG,-,90,115,102,93,50,88,72,93,88,45,77,96,48,83
FCO,75,-,31,91,41,65,69,46,54,60,38,50,31,42,36
ZRH,77,58,-,82,97,50,96,70,69,130,38,54,73,82,104
LHR,80,112,83,-,109,92,70,62,92,79,41,92,109,88,87
VIE,72,40,82,122,-,81,71,134,37,37,50,69,76,119,69
BER,43,58,43,98,117,-,74,63,46,54,45,56,120,31,62
AMS,120,106,123,109,108,126,-,113,111,97,80,92,120,110,106
BRU,111,40,73,85,58,93,81,-,116,61,27,58,104,66,77
CPH,68,63,79,77,45,42,43,65,-,56,55,57,88,36,46
WAW,72,33,84,92,22,48,72,105,53,-,53,72,57,21,51
BCN,72,44,52,71,52,65,58,29,47,42,-,30,98,36,41
LIS,101,91,61,84,84,89,72,74,65,114,59,-,189,78,70
ZAG,90,49,75,146,53,73,101,80,76,85,47,77,-,51,73
BUD,70,28,69,105,49,25,70,69,52,24,55,67,61,-,67
PRG,81,52,105,95,76,137,72,71,62,76,61,73,100,45,-
