from\to,CDG,FCO,ZRH,LHR,VIE,BER,AMS,BRU,IST,WAW,BCN,LIS,ZAG,BUD,PRG
CDG,-,365,735,75,1615,105,85,435,295,1605,115,1640,1070,135,115
FCO,475,-,100,975,105,1440,825,130,1390,715,110,195,85,110,115
ZRH,1475,95,-,120,745,85,750,1040,180,120,115,175,1300,1585,355
LHR,70,630,100,-,395,115,75,75,1105,145,140,170,415,1035,110
VIE,395,105,940,390,-,1255,1200,105,140,75,1690,1575,1160,45,1405
BER,110,740,85,240,215,-,85,675,180,1510,1475,225,315,90,955
AMS,1460,1080,745,80,1620,75,-,1025,1725,850,140,1605,765,1410,1675
BRU,235,135,675,70,835,85,1365,-,450,120,130,1425,430,1345,1300
IST,955,735,180,405,140,525,340,1030,-,1390,235,1430,245,120,150
WAW,745,145,925,405,80,1390,1345,285,1480,-,955,1070,1370,80,570
BCN,1035,115,630,1475,710,165,150,135,225,1530,-,130,755,155,150
LIS,1330,560,165,1115,760,640,620,620,2170,575,1615,-,700,220,1315
ZAG,835,85,975,315,845,455,725,1050,700,1580,695,1485,-,1640,1615
BUD,N/A,110,1550,1050,920,90,1565,1720,135,75,950,1510,975,-,690
PRG,115,120,305,240,1340,170,670,285,365,475,800,390,320,70,-
